date,event
2011-01-01,New Year's Day
2011-01-06,Epiphany
2011-04-23,Easter
2011-04-24,Easter
2011-04-25,Easter
2011-04-26,Easter
2011-05-01,Labor Day
2011-06-02,Ascension Day
2011-06-13,Whit Monday
2011-06-23,Corpus Christi
2011-08-15,Assumption Day
2011-10-26,National Day
2011-11-01,All Saints' Day
2011-12-08,Immaculate Conception
2011-12-25,Christmas Day
2011-12-26,St. Stephen's Day
2012-01-01,New Year's Day
2012-01-06,Epiphany
2012-04-07,Easter
2012-04-08,Easter
2012-04-09,Easter
2012-04-10,Easter
2012-05-01,Labor Day
2012-05-17,Ascension Day
2012-05-28,Whit Monday
2012-06-07,Corpus Christi
2012-08-15,Assumption Day
2012-10-26,National Day
2012-11-01,All Saints' Day
2012-12-08,Immaculate Conception
2012-12-25,Christmas Day
2012-12-26,St. Stephen's Day
2013-01-01,New Year's Day
2013-01-06,Epiphany
2013-03-30,Easter
2013-03-31,Easter
2013-04-01,Easter
2013-04-02,Easter
2013-05-01,Labor Day
2013-05-09,Ascension Day
2013-05-20,Whit Monday
2013-05-30,Corpus Christi
2013-08-15,Assumption Day
2013-10-26,National Day
2013-11-01,All Saints' Day
2013-12-08,Immaculate Conception
2013-12-25,Christmas Day
2013-12-26,St. Stephen's Day
